ID,fx_acidity,vol_acidity,citric_acid,resid_sugar,chlorides,free_sulf_d,tot_sulf_d,density,pH,sulph,alcohol,quality,class
1,0.6270123707846128,0.7900677200902934,0.0,0.35454375816383654,0.4198895027624309,0.29895366218236175,0.30287373728375705,0.9978,0.96988118264714,0.4705882352941177,0.749003984063745,5,Low
2,0.6609049313675648,0.9932279909706546,0.0,0.4851651427505132,0.5414364640883979,0.6794401413235494,0.5968394234709331,0.9968,0.8842221608179055,0.5714285714285715,0.7808764940239044,5,Low
3,0.6609049313675648,0.8577878103837472,0.060514372163388806,0.42918454935622313,0.5082872928176796,0.40766408479412963,0.48103475921537886,0.997,0.9008013263332411,0.546218487394958,0.7808764940239044,5,Low
4,0.9489916963226571,0.3160270880361174,0.8472012102874433,0.35454375816383654,0.4143646408839779,0.4620192961000136,0.5344830657948654,0.998,0.8731693838076817,0.48739495798319327,0.7808764940239044,6,High
5,0.6270123707846128,0.7900677200902934,0.0,0.35454375816383654,0.4198895027624309,0.29895366218236175,0.30287373728375705,0.9978,0.96988118264714,0.4705882352941177,0.749003984063745,5,Low
6,0.6270123707846128,0.744920993227991,0.0,0.3358835603657399,0.4143646408839779,0.3533088734882457,0.3563220438632436,0.9978,0.96988118264714,0.4705882352941177,0.749003984063745,5,Low
7,0.6693780715133029,0.6772009029345372,0.0907715582450832,0.2985631647695466,0.3812154696132597,0.40766408479412963,0.5255750146982844,0.9964,0.911854103343465,0.3865546218487395,0.749003984063745,5,Low
8,0.6185392306388747,0.7336343115124153,0.0,0.2239223735771599,0.35911602209944754,0.40766408479412963,0.1870690730282029,0.9946,0.9367228516164686,0.3949579831932773,0.796812749003984,7,High
9,0.6609049313675648,0.6546275395033859,0.030257186081694403,0.3732039559619332,0.4033149171270718,0.24459845087647777,0.16034491973845963,0.9968,0.9284332688588007,0.4789915966386554,0.7569721115537849,7,High
10,0.6354855109303508,0.5643340857787811,0.5446293494704992,1.1382720656838963,0.39226519337016574,0.4620192961000136,0.9086212118512712,0.9978,0.9256700746062448,0.6722689075630253,0.8366533864541832,5,Low
11,0.5677003897644467,0.6546275395033859,0.12102874432677761,0.3358835603657399,0.5359116022099448,0.40766408479412963,0.5790233212777709,0.9959,0.9063277148383531,0.45378151260504207,0.7330677290836652,5,Low
12,0.6354855109303508,0.5643340857787811,0.5446293494704992,1.1382720656838963,0.39226519337016574,0.4620192961000136,0.9086212118512712,0.9978,0.9256700746062448,0.6722689075630253,0.8366533864541832,5,Low
13,0.47449584816132856,0.6941309255079007,0.0,0.2985631647695466,0.4917127071823204,0.4348416904470716,0.5255750146982844,0.9943,0.9892235424150317,0.43697478991596644,0.7888446215139442,5,Low
14,0.6609049313675648,0.6884875846501128,0.4387291981845688,0.2985631647695466,0.6298342541436465,0.24459845087647777,0.25833348180085164,0.9974,0.9008013263332411,1.3109243697478992,0.7250996015936254,5,Low
15,0.754109472970683,0.6997742663656885,0.2723146747352496,0.7090875163276731,0.9723756906077348,1.4132354939529828,1.2916674090042581,0.9986,0.8731693838076817,0.7394957983193278,0.7330677290836652,5,Low
